Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat  for Rent in Brigade Road, Bangalore","₹31,000",Semi-Furnished,1,800 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Jalahalli, Jalahalli, Outer Ring Road, Bangalore","₹26,000",Semi-Furnished,1,406 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in HAL Old Airport Road, Bangalore","₹14,000",Furnished,1,710 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Nandini Layout, Bangalore","₹7,500",Semi-Furnished,1,1200 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 5th HSR Layout, Bangalore","₹15,000",Semi-Furnished,1,450 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Yemalur, Bellandur, Bangalore","₹45,000",Semi-Furnished,1,615 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Btm Layout, Bangalore","₹22,000",Semi-Furnished,1,850 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Neeladri Nagar, Bangalore","₹13,000",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹31,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddanekundi Main Road, Bangalore","₹21,000",Semi-Furnished,1,640 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hebbal, Bangalore","₹14,000",Furnished,1,710 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹13,000",Furnished,2,710 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kurubarahalli Basaveshwar Nagar, Bangalore","₹12,500",Furnished,1,454 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Begur, Bangalore","₹6,000",Semi-Furnished,1,725 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Panathur, Bangalore","₹35,000",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Krishnarajapura, Bangalore","₹8,000",Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹13,000",Furnished,1,800 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Maragondanahalli, Bangalore","₹8,000",Semi-Furnished,1,520 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹27,000",Semi-Furnished,1,442 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Block 2nd HBR Layout, Bangalore","₹9,000",Semi-Furnished,1,Immediately,Bachelors/Family,Same Premise
"1 BHK Flat  for Rent in Sector 5th HSR Layout, Bangalore","₹15,000",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Neelasandra, Bangalore","₹10,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Itpl, Whitefield, Bangalore","₹42,000",Furnished,1,782 sqft,Bachelors/Family,From May '26
"1 BHK Flat  for Rent in Block A AECS Layout, Bangalore","₹25,000",Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Basapura, Bangalore","₹8,500",Unfurnished,1,900 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Thanisandra, Bangalore","₹26,000",Semi-Furnished,1,760 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Phase 1 Electronics City, Bangalore","₹17,500",Semi-Furnished,1,685 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹16,000",Furnished,1,804 sqft,Bachelors,Immediately
