Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹35,000",Semi-Furnished,1,586 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddakallasandra, Konanakunte, Bangalore","₹9,000",Semi-Furnished,1,200 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sathnur Village, Bangalore","₹21,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹17,000",Semi-Furnished,1,200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Talaghattapura, Bangalore","₹22,000",Semi-Furnished,1,444 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹20,000",Semi-Furnished,1,850 sqft,Bachelors,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹9,000",Semi-Furnished,1,120 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Adde Vishwanathapura, Bangalore","₹8,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Begur Road, Bangalore","₹21,000",Furnished,1,370 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hsr Layout, Bangalore","₹23,000",Unfurnished,1,750 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kadugodi, Bangalore","₹14,000",Unfurnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Domlur Village, Domlur, Bangalore","₹25,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Koramangala, Bangalore","₹15,000",Furnished,1,640 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield Main Road, Bangalore","₹25,000",Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Malleshwaram, Bangalore","₹25,000",Semi-Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Block 1st Koramangala, Bangalore","₹13,000",Unfurnished,1,350 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 5th HSR Layout, Bangalore","₹26,000",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Varthur, Bangalore","₹39,000",Semi-Furnished,1,485 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hebbal, Bangalore","₹42,000",Furnished,1,380 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹12,000",Furnished,1,804 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Yemalur Main Road, Bangalore","₹24,900",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kadubeesanahalli Road, Bangalore","₹36,000",Furnished,1,530 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hsr Layout, Bangalore","₹40,000",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Manorayana Palya, Bangalore",Call for Price,Furnished,2,350 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Geethanjali Layout, Bangalore","₹35,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹36,000",Furnished,1,650 sqft,Bachelors/Family,From May '26
"1 BHK Flat  for Rent in Stage 1 BTM Layout, Bangalore","₹18,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹30,000",Semi-Furnished,1,666 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2 Indiranagar, Bangalore","₹25,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Mahalakshmipuram Layout, Mahalakshmipuram, Bangalore","₹21,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,Call for Price,Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹23,000",Furnished,1,850 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹27,500",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 1 BTM Layout, Bangalore","₹22,000",Semi-Furnished,1,510 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 3 HSR Layout, Bangalore","₹20,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Chikka Adugodi, Sadduguntepalya, Bangalore","₹12,000",Semi-Furnished,1,300 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Balagere Road, Bangalore","₹16,000",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Varthur, Bangalore","₹45,000",Semi-Furnished,1,888 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Alur, Bangalore","₹4,800",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Neeladri Nagar, Bangalore","₹15,000",Semi-Furnished,1,600 sqft,Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹35,000",Semi-Furnished,1,445 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Pai Layout Hulimavu, Bangalore","₹18,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Thanisandra Main Road, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Bommanahalli, Bangalore","₹6,000",Unfurnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹17,000",Furnished,1,587 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹45,000",Semi-Furnished,3,1108 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Koramangala, Bangalore","₹23,000",Semi-Furnished,1,550 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Koramangala, Bangalore","₹12,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Ulsoor Road, Bangalore","₹13,000",Semi-Furnished,1,300 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sector 6 HSR Layout, Bangalore","₹20,000",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Phase 6 JP Nagar, Bangalore","₹13,500",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Ashraya Layout Garudachar Palya, Bangalore","₹25,000",Semi-Furnished,1,546 sqft,Bachelors/Family,From May '26
"1 BHK Flat  for Rent in Rajajinagar, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sector 3 HSR Layout, Bangalore","₹14,500",Semi-Furnished,1,510 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹40,000",Semi-Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Varthur, Bangalore","₹38,000",Semi-Furnished,1,485 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Munnekollal, Bangalore","₹23,000",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹22,000",Semi-Furnished,1,520 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹25,000",Semi-Furnished,1,540 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Bagalur Main Road, Bangalore","₹18,000",Semi-Furnished,1,345 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Varthur, Bangalore","₹27,000",Semi-Furnished,1,350 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Thubarahalli, Whitefield, Bangalore","₹18,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 1 BTM Layout, Bangalore","₹25,000",Furnished,1,900 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹32,000",Semi-Furnished,2,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Nti Layout Rajiv Gandhi Nagar, Bangalore","₹18,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Begur Road, Bangalore","₹22,000",Semi-Furnished,1,376 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Karthik Nagar, Bangalore","₹24,000",Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2 Kumaraswamy Layout, Bangalore","₹12,000",Furnished,1,800 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Bettadasanapura Main Road, Bangalore","₹18,000",Furnished,1,260 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 6 HSR Layout, Bangalore","₹18,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Garudachar Palya, Mahadevapura, Bangalore","₹16,900",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2nd Hal, Bangalore","₹25,000",Semi-Furnished,1,750 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹26,000",Furnished,1,800 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 7 HSR Layout, Bangalore","₹30,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹29,000",Semi-Furnished,1,445 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹29,000",Semi-Furnished,1,448 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Munnekollal, Bangalore","₹13,500",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 6 HSR Layout, Bangalore","₹17,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹6,250",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Block 1st Koramangala, Bangalore","₹29,000",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hebbal, Bangalore","₹6,500",Furnished,1,135 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Immadihalli Main Road, Bangalore","₹16,800",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hebbal, Bangalore","₹40,000",Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in ITI Layout HSR Layout, Bangalore","₹16,000",Semi-Furnished,1,350 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹28,000",Semi-Furnished,1,447 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kadugodi, Bangalore","₹6,500",Unfurnished,1,300 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Nataraja Layout JP Nagar, Bangalore",Call for Price,Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Rajajinagar, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Nallurhalli, Whitefield, Borewell Road, Bangalore","₹18,000",Semi-Furnished,1,Immediately,Bachelors,Same Premise
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹27,000",Semi-Furnished,1,442 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Phase 8th JP Nagar, Bangalore","₹16,000",Semi-Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Vyalikaval HBCS Layout Nagavara, Bangalore","₹15,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Jeevan Bima Nagar, Airport Road, Bangalore","₹16,800",Semi-Furnished,1,420 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sorahunase, Bangalore","₹10,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Begur, Bangalore","₹31,000",Semi-Furnished,1,470 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Carmelaram, Bangalore","₹35,000",Furnished,1,699 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Jakkur, Bangalore","₹33,000",Furnished,1,305 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Electronic City, Bangalore","₹16,000",Furnished,1,622 sqft,Bachelors,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹15,000",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Immadihalli, Whitefield, Bangalore","₹8,500",Semi-Furnished,1,800 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹30,000",Semi-Furnished,1,445 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 1st HSR Layout, Bangalore","₹35,000",Furnished,1,550 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Cox Town, Bangalore","₹8,000",Unfurnished,1,Immediately,Family,Same Premise
"1 BHK Flat  for Rent in Hongasandra, Bangalore",Call for Price,Unfurnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in KPC Layout Kasavanahalli, Bangalore","₹21,000",Unfurnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Phase 5 JP Nagar, Bangalore","₹15,500",Semi-Furnished,1,400 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sunkadakatte, Bangalore","₹7,000",Furnished,1,250 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in RT Nagar, Bangalore",Call for Price,Unfurnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Rajajinagar, Bangalore","₹16,000",Furnished,1,420 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹17,000",Semi-Furnished,1,700 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sector 3 HSR Layout, Bangalore","₹15,000",Unfurnished,1,490 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Koramangala, Bangalore","₹22,500",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in D Costa Layout, Cooke Town, Bangalore","₹35,000",Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Laljinagar, Wilson Garden, Bangalore","₹15,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hsr Layout, Bangalore","₹21,000",Semi-Furnished,1,400 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Domlur, Domlur, Bangalore","₹40,000",Semi-Furnished,1,700 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kogilu, Bangalore","₹26,500",Semi-Furnished,1,480 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Huvinayakanahalli, Bangalore","₹18,000",Unfurnished,1,520 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hennur Main Road, Bangalore","₹22,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Agrahara Badavane, Bangalore","₹80,000",Furnished,1,1029 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Koramangala, Bangalore","₹16,000",Semi-Furnished,1,300 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sathya Sai Layout, Whitefield, Bangalore","₹20,000",Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Dommasandra, Bangalore","₹12,000",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kaikondrahalli, Bangalore","₹27,000",Furnished,1,590 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Thanisandra Main Road, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sadaramangala, Bangalore","₹17,000",Semi-Furnished,1,550 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 1st Domlur, Bangalore",Call for Price,Semi-Furnished,1,Immediately,Bachelors/Family,Same Premise
"1 BHK Flat  for Rent in Mahalakshmi Layout, Bangalore","₹26,000",Furnished,1,400 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Vishweshwaraiah Layout Akash Nagar, Bangalore","₹30,000",Semi-Furnished,1,375 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Varthur, Bangalore","₹14,000",Bachelors/Family,Immediately,NA,NA,NA
"1 BHK Flat  for Rent in Kanakapura Road, Bangalore","₹23,000",Semi-Furnished,1,527 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore",Call for Price,Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Radha Reddy Layout, Bangalore","₹16,500",Semi-Furnished,1,1200 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddanekundi, Kartik Nagar, Bangalore","₹28,000",Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Indiranagar, Bangalore","₹23,000",Semi-Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Panathur, Bangalore",Call for Price,Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddanekundi, Kartik Nagar, Bangalore","₹26,000",Furnished,1,620 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 1st Domlur, Bangalore","₹45,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hulimavu, Bangalore","₹18,000",Furnished,1,300 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Block 8 Jaya Nagar, Bangalore","₹27,000",Unfurnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Borewell Road, Bangalore","₹16,000",Semi-Furnished,1,200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sector 2 HSR Layout, Bangalore","₹21,000",Semi-Furnished,1,550 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Pai Layout Mahadevapura, Bangalore","₹25,000",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹17,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 5th HSR Layout, Bangalore","₹25,000",Semi-Furnished,1,700 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in AECS Layout Sanjayanagara, Bangalore","₹10,500",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Murgesh Pallya, Bangalore","₹22,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kanakapura Road, Bangalore","₹18,000",Furnished,1,526 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹22,000",Furnished,1,450 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Choodasandra, Bangalore","₹16,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in HAL Old Airport Road, Bangalore","₹23,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Karthik Nagar, Bangalore","₹23,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹23,000",Semi-Furnished,1,480 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kammanahalli, Bangalore","₹13,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kundalahalli, Brookefield, Bangalore","₹23,000",Furnished,1,750 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 5th HSR Layout, Bangalore","₹30,000",Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in J P Nagar, Bangalore","₹12,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹12,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Vidyaranyapura Main Road, Bangalore","₹50,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Thanisandra, Bangalore","₹13,000",Furnished,1,675 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Haralur Main Road, Bangalore","₹36,000",Semi-Furnished,1,565 sqft,Bachelors,From May '26
"1 BHK Flat  for Rent in Phase 2 Electronic City, Bangalore","₹6,500",Semi-Furnished,1,1200 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Brookefield, Bangalore","₹16,000",Semi-Furnished,1,200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹25,200",Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddanekundi, Kartik Nagar, Bangalore","₹26,000",Furnished,1,590 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Pai Layout Mahadevapura, Bangalore","₹25,000",Semi-Furnished,1,590 sqft,Bachelors,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹35,000",Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Saraipalya, Bangalore","₹11,000",Unfurnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Thanisandra Main Road, Bangalore","₹14,000",Furnished,1,710 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hosa Road, off Hosur Road, Bangalore","₹8,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2 Indiranagar, Bangalore","₹18,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kanaka Nagar Hebbal, Bangalore","₹12,000",Unfurnished,1,1200 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kudlu Gate, Bangalore","₹22,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Indiranagar, Bangalore","₹25,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hosa Road, off Hosur Road, Bangalore",₹8 Lac,Semi-Furnished,1,730 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Phase 1 Electronics City, Bangalore","₹31,000",Semi-Furnished,1,618 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Immadihalli Main Road, Bangalore","₹26,500",Furnished,1,395 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹16,000",Semi-Furnished,1,550 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kamakshipalya, Outer Ring Road, Bangalore","₹10,500",Unfurnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Electronic City, Bangalore","₹12,500",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kogilu, Bangalore","₹25,000",Semi-Furnished,1,420 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Attibele, Bangalore",Call for Price,Semi-Furnished,1,480 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Green Glen Layout, Bellandur, Bangalore","₹30,000",Semi-Furnished,1,890 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹15,000",Furnished,2,645 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hsr Layout, Bangalore","₹27,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Electronic City, Bangalore","₹17,000",Furnished,1,350 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Krishnarajapura, Bangalore","₹37,000",Semi-Furnished,1,770 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Phase 2 Bedarahalli, Bangalore",Call for Price,Semi-Furnished,1,300 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Seegehalli Krishnarajapura, Bangalore","₹10,000",Unfurnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹18,000",Semi-Furnished,1,580 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Akshayanagara East, Bangalore","₹18,000",Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hagadur, Bangalore","₹15,000",Semi-Furnished,1,580 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Panathur, Bangalore","₹32,000",Semi-Furnished,1,645 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Kadabeesanahalli, Bangalore","₹25,000",Semi-Furnished,1,700 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Block 1st Koramangala, Bangalore","₹27,000",Semi-Furnished,1,1000 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hulimangala Road, Bangalore","₹11,000",Semi-Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in RK Hegde Nagar, Bangalore","₹14,000",Semi-Furnished,2,600 sqft,Family,Immediately
"1 BHK Flat  for Rent in Byatarayanapura, Bangalore","₹41,000",Unfurnished,1,425 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Begur Road, Bangalore","₹15,500",Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hanumanthappa Layout-Kyalasanahalli, Bangalore",₹7 Lac,Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Dommasandra, Bangalore","₹10,000",Furnished,1,666 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Panathur, Bangalore","₹35,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹13,000",Semi-Furnished,1,1000 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹15,000",Unfurnished,1,1200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹14,000",Furnished,1,630 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Electronic City, Bangalore","₹12,500",Semi-Furnished,1,400 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Uttarahalli Hobli, Bangalore","₹26,000",Furnished,1,450 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hulimavu, Bangalore","₹17,000",Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in A Narayanapura, Mahadevapura, Bangalore","₹16,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹27,000",Furnished,1,800 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hadosiddapura, Chikkakannalli, Bangalore","₹18,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
